feature,coefficient
excellent,8.90526004684823
great,7.807232966619978
wonderful,6.5726477180754515
loved,6.343429865121782
the best,5.758060124354635
perfect,5.572928098240769
amazing,5.382089991587613
brilliant,5.369005998562365
job,4.910831255850122
today,4.903876501110443
highly,4.8433625674159755
well,4.7023101262740505
best,4.699629492586821
enjoyable,4.69786040311436
favorite,4.661035712694646
superb,4.3463596663133215
especially,4.315305972424668
simple,4.258874761172879
enjoyed,4.224677322717457
wonderfully,4.153836897351014
enjoy,4.136645751767388
refreshing,4.117833772579772
it,4.0413674849477434
nice,3.9228816041652577
fantastic,3.8789498114681757
and well,3.834608965420466
nature,3.819854298556819
just as,3.78450895882884
touching,3.777792881025406
definitely,3.739346821081921
true,3.7073269464792937
perfectly,3.7024792497648136
very well,3.6926872754200213
loved this,3.6549776507357143
very good,3.654336789970469
fun,3.6278991524501083
times,3.626240393966136
solid,3.606786744543629
heart,3.603605658189668
liked,3.573221384504116
better than,3.563562110892307
also,3.535151314458144
which is,3.518582617436302
classic,3.5101951650991823
must see,3.5051053798781227
not only,3.4357045448837558
this is,3.40743671264198
love,3.3894968194879764
definitely worth,3.381221158690931
powerful,3.3783454687622285
forgettable,-3.6669559631495847
cheap,-3.7026472208262913
wasted,-3.704810130100894
instead,-3.707838708449835
looks,-3.7269123180693033
basically,-3.7365669090531033
only,-3.7992790905673326
save,-3.8687215899008267
couldn,-3.872678718365396
so bad,-3.948749701943311
not worth,-4.004184863833569
even,-4.024123178157839
weak,-4.032457898773893
laughable,-4.038931805902725
at all,-4.097787828859858
waste of,-4.235025264881278
just,-4.258378177994222
no,-4.299015353262096
script,-4.314372101138248
crap,-4.3568103470935835
avoid,-4.3647339819765
then,-4.44118917174089
badly,-4.443090981640343
pointless,-4.449995445386869
bored,-4.5486937024445115
annoying,-4.554649121990763
minutes,-4.86792269365778
mess,-4.886577075573532
disappointing,-4.985334287908949
lame,-5.019011519352722
disappointment,-5.0377356905179935
dull,-5.042485925266593
lacks,-5.106384521817846
ridiculous,-5.257432161164976
oh,-5.2635434376461365
terrible,-5.345557416020843
fails,-5.448232090639322
nothing,-5.524965202231942
unfortunately,-6.017154234090648
horrible,-6.060474467394955
stupid,-6.065716062925961
poor,-6.154150477075218
poorly,-6.167083884289362
waste,-6.435361436986368
worse,-6.637483251365555
the worst,-7.830707176372299
boring,-8.167513433811031
worst,-8.8647000272094
awful,-9.156886037425103
bad,-10.622140329328086
