feature,coefficient
great,4.623975216013119
excellent,3.9856985841627703
the best,3.005354462409321
wonderful,2.982814979421857
best,2.9060468082965505
loved,2.8609028952914564
well,2.7699673900761907
and,2.6886292382804684
perfect,2.492412653870155
amazing,2.4373882191331773
it,2.4151408592946835
love,2.2351858739145847
brilliant,2.200387749466382
favorite,2.156120003583345
very,2.092981230751437
today,2.0172008235112533
also,1.9946399336520466
job,1.9797846464230577
enjoyed,1.9394016934614595
highly,1.919111574536528
fun,1.911993990894014
beautiful,1.901020330185211
enjoy,1.8875133514909808
superb,1.7993608849365745
it is,1.7805862561439092
heart,1.7519449406909864
this is,1.7496351236912613
especially,1.7338441596762506
still,1.7191454093545309
definitely,1.683342334461239
you,1.6765397294829962
one of,1.6609130831030827
fantastic,1.6504881118580121
enjoyable,1.6503078936490245
liked,1.6348671232441816
classic,1.6323258821582614
life,1.632206045285948
very well,1.5642962081815128
simple,1.5589829565537818
my favorite,1.5093022118066137
series,1.501827092913279
both,1.484580800499223
is great,1.4843660052893064
times,1.478279858513933
always,1.476322508499015
true,1.4663512504600953
makes,1.4631856396415366
good,1.4534554768035035
world,1.40849515205846
his,1.395815184119335
touching,1.3836557756856271
may,1.3763900264679023
must see,1.3478740378695657
is,1.346567426979205
wonderfully,1.3363777200250937
very good,1.3342783528246234
as the,1.3246728102729466
perfectly,1.3048931600512481
performance,1.3007054564606777
different,1.2978304421848676
nice,1.2893814635526464
an excellent,1.2854733625295194
shows,1.274351113176968
the two,1.2663297981144215
loved this,1.2479888841688338
incredible,1.2415250675003944
years,1.2373106511622367
powerful,1.2341098906886587
sometimes,1.2321737550853187
will,1.223317193591461
performances,1.22304244780094
human,1.210513037239491
moving,1.2005438711042429
him,1.1986040240683775
recommended,1.1984002076102858
some of,1.1898229656236943
noir,1.1831412271677884
masterpiece,1.1788983831015847
refreshing,1.169131660501177
often,1.1591642410834382
although,1.1577010251575308
and well,1.1544645523869832
10 10,1.143512859609262
is excellent,1.1399293049792818
funniest,1.1381882526523037
on dvd,1.1362808330318535
unique,1.1347615180029849
bit,1.1302517584642184
realistic,1.129728641616742
more,1.1201629171017018
stewart,1.1101794368108806
solid,1.1091963570102317
loved it,1.0931501295422401
atmosphere,1.0870086352172175
nature,1.0822938335102577
fine,1.0799278066296683
each,1.078654469528068
day,1.076029533342613
and how,1.0744961414703507
beautifully,1.0744837669329517
is must,1.0726261843954092
beauty,1.0676092696723345
entertaining,1.0651105390822568
highly recommended,1.0640472394315796
first time,1.0599719060874169
young,1.0577953545568548
well worth,1.0554110724310706
when,1.0510236976301184
of the,1.0498381266639458
good as,1.0477210405756985
fascinating,1.041995642262724
many,1.0315864114646671
not only,1.0142455825089416
just as,1.0116921530316163
may not,1.0099262170182943
seen,1.0059170790463436
highly recommend,0.9997119078354054
recommend,0.9990879781654151
played,0.9984050515806427
strong,0.9977495352890914
love this,0.99765256418274
hilarious,0.9919810149266792
my,0.9914628044725567
copy,0.9898218781130134
the funniest,0.989076948277155
you will,0.9865056197159456
delightful,0.9860617221811567
watch it,0.9857012111861407
the right,0.98486295312449
everyone,0.9846331613454383
episode,0.9802380632506952
arthur,0.9755794888849144
plenty of,0.9735559968311626
as,0.9673608163873798
rare,0.966688247022738
at times,0.9662747114550687
the way,0.9616477457424762
lives,0.9614156701832228
which is,0.957340047864445
was great,0.9536411162891412
genius,0.9536099305157937
soundtrack,0.9457738977334523
is wonderful,0.9448324210554816
definitely worth,0.9447244987454935
romantic,0.9406907383896556
think,0.9394212328114172
10,0.9350881562881522
smith,0.9308430243127694
enjoyed it,0.9259822030791666
language,0.9256345134350769
powell,0.9200705214173605
other,0.9149026131174752
when was,0.9110646482122411
family,0.9042766821067715
sweet,0.9041826525516066
easy,0.8997481065958324
greatest,0.8962914215446582
most,0.8961032200600149
surprised,0.8895445238988571
tony,0.8893017480598975
vhs,0.8866824794581151
at the,0.8843021892705346
is an,0.884099211803161
complex,0.8836904590485812
very funny,0.8832412307681596
jack,0.8806625253681152
well done,0.8785619043524925
to the,0.8783361664018605
see,0.8782429944014062
the show,0.8751657979988533
us,0.8733385661894284
better than,0.8693683504468697
believable,0.8672652126135747
gem,0.86682596070097
terrific,0.864328066876307
bourne,0.8626296284521924
glad,0.8600166122367998
ride,0.8591244087737661
tears,0.8581645577276353
liked it,0.8575309565991908
future,0.8567600997478786
what makes,0.8564989499513183
own,0.8562567962678926
freedom,0.8547431014229545
ago,0.8544896975487836
plenty,0.8536393840305634
history,0.8536388985531325
reality,0.8519751989050436
subtle,0.8492532843138493
with the,0.8485908260363286
great job,0.8443534400339441
saw this,0.8419350543246183
awesome,0.8390221815913743
outstanding,0.8388069736504502
though,0.8378230759532662
surprisingly,0.8336070682507544
knew,0.8317129230511912
modesty,0.831031857665734
friendship,0.8279517782449133
is also,0.8250849017170533
captures,0.8246695697832667
enjoyed this,0.824577025315512
while,0.8232533177532895
works,0.8208918648837509
is perfect,0.8156074917296671
must,0.8150065194089009
so well,0.8149188205987143
finest,0.8144051536547586
well written,0.8132832126031891
it still,0.8118645012190694
think the,0.8116386499402483
gives,0.810591859274206
emotions,0.8089015652640067
is one,0.8079132464316308
unusual,0.8044754135670938
journey,0.8040463202563641
10 out,0.8031336864490437
loved the,0.8026898751734208
our,0.8025582825528893
oscar,0.7951675491629175
gandhi,0.7943013564605859
fabulous,0.7942630078325619
appreciated,0.7910816983534719
appreciate,0.7897722124877493
intense,0.7887951363563153
and it,0.7849524995343153
harry,0.7846077925111064
love the,0.7840887662287519
this episode,0.7829536098334936
its,0.779508122557299
truly,0.7783564392878264
came,0.7776492891963398
the,0.772454073803333
father,0.7717930745768457
kelly,0.7672511807149238
small,0.7662721436067533
of its,0.765979059125388
portrayal,0.764855726034353
drew,0.7646560917183434
think it,0.7636983664533078
top,0.7629055323625811
now,0.7625000956965152
the greatest,0.7595116994472143
worth,0.7590085739393576
jackie,0.7568158158294742
available,0.7562395665156295
underrated,0.7550291353281359
even though,0.7543754313585777
the day,0.7531667375896242
nancy,0.7527542425807608
type,0.7487764294323296
knowing,0.7471255335034883
film and,0.7465143099005033
sees,0.7460153471660453
war,0.7411704082783679
throughout,0.7401867714325753
cry,0.7390349141926811
what it,0.7378481184968126
good job,0.7362836218197414
victoria,0.7339139278141019
memories,0.7336669294121971
you don,0.7312578900955438
impressed,0.7309522187108182
quiet,0.7307831897898331
unlike,0.7246657401105794
studio,0.7244024635983013
ramones,0.7228709662282806
at first,0.7198682350598546
see it,0.7186351220265967
overall,0.7168553427937412
allen,0.7162317727013792
men,0.7156201383641347
terrifying,0.7132593856590256
stunning,0.713035821026013
the more,0.7114705190497196
same time,0.7114532579739677
favourite,0.7103006937120635
recommend it,0.7097048905842311
subtitles,0.7086861625289267
delivers,0.70638996943134
some great,0.7043125117799148
herself,0.70244718961295
feel good,0.7012177689333171
first saw,0.6988647586147283
